Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,691
Base Time Seconds,1715368073
Base Time Fractional,.750470200
Base Time,05/10/2024 19:07:53.750470200
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
0.08964757621288,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000547968,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.300900360
0.08939334750175,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000518906,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.383595040
0.08941233158112,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000513093,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.466302240
0.0895819067955,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000489843,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.549024300
0.08944322913885,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000547967,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.631730000
0.08962299674749,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000507281,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.714438560
0.08973774313927,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000571218,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.797148720
0.09039527177811,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000524718,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.879836380
0.08924438804388,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000518905,Amp DC,.01,T,2W,F,F,05/10/2024,19:07:59,.962535520
0.08943396061659,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000530531,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.045247440
0.08979263156652,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000606093,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.127954440
0.09282263368368,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000675842,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.210651140
0.1021613329649,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0014427376445,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.293332340
0.09225556254387,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.376037000
0.03721104189754,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.458745920
0.09107352793217,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.541458580
0.07548615336418,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000507280,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.624150900
0.09087248891592,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000559593,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.706859920
0.06271738559008,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000547968,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.789559840
0.03717060014606,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000478218,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.872275980
0.03718433529139,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000495656,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:00,.954967140
0.03715563192964,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000536343,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.037673020
0.06975381821394,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000495656,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.120384920
0.03716411814094,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,0.0000000033278,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.203086480
0.03778705745935,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000513092,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.285796880
0.09094043076038,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000513093,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.368495580
0.03716266155243,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000553780,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.451211660
0.03715686127543,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000053908,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.533897560
0.06357279419899,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000547968,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.616592520
0.0481341406703,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000003814573,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.699294540
0.09100733697414,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000501468,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.781993040
0.03732670471072,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000524718,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.864687400
0.09092229604721,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0003367194149,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:01,.947369680
0.03714429214597,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000489843,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.030082080
0.06034663319588,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000495656,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.112783420
0.09089291095734,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000449156,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.195480100
0.03715906664729,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000437531,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.278175100
0.03723933920264,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000466593,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.360869580
0.03710822016001,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000472405,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.443588660
0.05250516161323,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000472406,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.526309300
0.03710367158055,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000518905,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.609023580
0.03713753074408,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000005325813,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.691742800
0.09084663540125,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000513093,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.774448660
0.09077150374651,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000010347786,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.857149040
0.05194761231542,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000530531,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:02,.939836120
0.037128534168,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000484031,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.022523200
0.03711900115013,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000565405,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.105232900
0.09082555770874,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000577029,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.187934760
0.03716104105115,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000344532,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.270630720
0.05191810429096,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000466594,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.353325560
0.03712428733706,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000513093,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.436034700
0.03710333630443,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000513093,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.518735620
0.03711457923055,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000332907,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.601447240
0.04473251849413,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000004174949,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.684154580
0.09091281890869,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000983902,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.766870800
0.1023185402155,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000582842,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.849583380
0.03794755041599,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000006906799,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:03,.932288560
0.03714349865913,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000507281,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.015000700
0.03711994737387,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000594466,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.097710540
0.0371207036078,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.180409640
0.03711293637753,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000565405,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.263121900
0.03710513189435,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000501468,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.345838400
0.0371024236083,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000501468,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.428529840
0.03709407150745,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000547968,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.511223660
0.0907439365983,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000010841844,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.593915640
0.03709180280566,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000513093,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.676615660
0.03708926215768,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000530530,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.759316840
0.06886984407902,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000507280,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.842007200
0.03708651289344,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000501468,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:04,.924716360
0.09090723097324,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000005959357,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.007415840
0.03710551932454,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000495656,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.090151320
0.03710625320673,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000396844,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.172866380
0.03706535696983,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000611905,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.255569900
0.03784992545843,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000489842,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.338270000
0.0370957814157,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000518905,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.420964500
0.1011058241129,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000658405,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.503665780
0.0371726565063,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000003361201,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.586370660
0.03708161786199,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000501468,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.669076740
0.03704992681742,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000588655,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.751794900
0.03706078976393,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000019034,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.834494980
0.03706731647253,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000466593,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.917194700
0.04753955826163,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000489843,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:05,.999893400
0.03705436363816,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000460781,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:06,.082602640
0.03704575076699,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000408469,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:06,.165294960
0.09075514227152,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000524718,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:06,.248001440
0.03706731647253,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000507281,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:06,.330692220
0.05178168043494,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000542155,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:06,.413408100
0.03706021606922,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000495656,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:06,.496119180
0.03705004230142,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000530530,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:06,.578826960
0.03705341741443,Volt DC,.1,5.5,F,F,F,F,F,F,Front,F,Main,-0.0000000536342,Amp DC,.01,T,2W,F,F,05/10/2024,19:08:06,.661535920
